Age,EstimatedSalary
19,19000
35,20000
26,43000
27,57000
19,76000
27,58000
27,84000
32,150000
25,33000
35,65000
26,80000
26,52000
20,86000
32,18000
18,82000
29,80000
47,25000
45,26000
46,28000
48,29000
45,22000
47,49000
48,41000
45,22000
46,23000
47,20000
49,28000
47,30000
29,43000
31,18000
31,74000
27,137000
21,16000
28,44000
27,90000
35,27000
33,28000
30,49000
26,72000
27,31000
27,17000
33,51000
35,108000
30,15000
28,84000
23,20000
25,79000
27,54000
30,135000
31,89000
24,32000
18,44000
29,83000
35,23000
27,58000
24,55000
23,48000
28,79000
22,18000
32,117000
27,20000
25,87000
23,66000
32,120000
59,83000
24,58000
24,19000
23,82000
22,63000
31,68000
25,80000
24,27000
20,23000
33,113000
32,18000
34,112000
18,52000
22,27000
28,87000
26,17000
30,80000
39,42000
20,49000
35,88000
30,62000
31,118000
24,55000
28,85000
26,81000
35,50000
22,81000
30,116000
26,15000
29,28000
29,83000
35,44000
35,25000
28,123000
35,73000
28,37000
27,88000
28,59000
32,86000
33,149000
19,21000
21,72000
26,35000
27,89000
26,86000
38,80000

36,63000
42,73000
43,112000
45,79000
46,117000
58,38000
48,74000
37,137000
37,79000
40,60000
42,54000
51,134000
47,113000
36,125000
38,50000
42,70000
39,96000
38,50000
49,141000
39,79000
39,75000
54,104000
35,55000
45,32000
36,60000
52,138000
53,82000
41,52000
48,30000
48,131000
41,60000
41,72000
42,75000
36,118000
47,107000
38,51000
48,119000
42,65000
40,65000
57,60000
36,54000
58,144000
35,79000
38,55000
39,122000
53,104000
35,75000
38,65000
47,51000
47,105000
41,63000
